company,date,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,file_url
Dixon Technologies (India) Ltd,2025-07-22T16:21:36.363,12838,280,484,46.47,46.3,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e2ee3f24-b1df-4d47-a944-bc395f1457ac.pdf
DLF Ltd,2025-08-04T16:31:09.96,1716.7,762.67,,3.08,3.08,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=64d42d7c-f205-4bcb-b74d-a78f2ce3d7ab.pdf
DOMS Industries Ltd,2025-08-08T18:03:54.013,56227.72,5910.2,10323.57,9.44,9.42,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b9f6431c-a12e-4af7-8936-2ed9b2811e0c.pdf
Dr Reddys Laboratories Ltd,2025-07-23T16:38:36.397,85452,14178,22784,17.04,17.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=12e5364f-0652-4c3c-afc0-088141ba5f14.pdf
Dr. Lal PathLabs Ltd,2025-07-31T13:25:58.543,"6,407","1,293",,15.51,15.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4e31979a-b805-405c-bede-fde858625edf.pdf
eClerx Services Ltd,2025-07-24T20:12:35.68,9451,1417,2346,30.2,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3957b52f-7329-4c30-b9a4-5d45a00e4682.pdf
eClerx Services Ltd,2025-07-24T20:02:58.877,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=96444b54-3e89-4949-866e-20de9a53919f.pdf
Eicher Motors Ltd,2025-07-31T17:47:46.787,5041.84,1205.22,,43.95,43.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9904b585-c11d-4c9e-885d-c8f94825c4ef.pdf
EID Parry India Ltd,2025-08-06T13:57:30.89,872368,46446,89500,13.85,13.81,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c8c53516-c06e-49a0-bc34-1f1f47419ff9.pdf
EIH Ltd,2025-08-05T17:57:20.233,573.58,36.88,,0.54,0.54,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=54a169d8-c753-4200-af93-746846e6bc6e.pdf
Elecon Engineering Company Ltd,2025-07-11T12:48:55.173,49057,17544,13000,7.82,7.82,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=73f4404a-c584-4edc-8fdc-712fa66406b4.pdf
Elgi Equipments Ltd,2025-08-12T17:48:17.573,8667,856,,2.71,2.7,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3f56b3e4-1364-4033-b1d5-e25045221d36.pdf
Emami Ltd-$,2025-07-31T13:42:12.64,90409,16426,23581,3.76,3.76,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f4d80299-f725-4249-873e-fe0fd7e8c357.pdf
Emcure Pharmaceuticals Ltd,2025-08-07T13:42:10.45,21005.37,2147.93,404,10.92,10.92,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8a1385be-7335-4286-b3ed-f75dcf89f7e2.pdf
Engineers India Ltd,2025-08-13T16:58:53.163,87035.93,6540.09,,1.16,1.16,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=005c94df-c881-47c7-8ec3-a49b432ff0e9.pdf
Eris Lifesciences Ltd,2025-08-05T13:25:26.587,656.69,137.68,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=febc630f-73fc-419d-8723-6abecc11fe56.pdf
Escorts Kubota Ltd,2025-08-04T14:14:06.243,2633.92,1397.1,,127.01,126.96,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=07b40edb-5b26-4b60-961a-799d4eb84224.pdf
Eternal Ltd,2025-07-21T16:03:54.21,7167,25,,0.03,0.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a4ea656d-c937-46fe-b391-87ccaf2ff8e8.pdf
Eternal Ltd,2025-07-21T15:13:35.943,7167,25,,0.03,0.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e0b6f33f-333d-4fb6-b19c-87995fff5cb9.pdf
Exide Industries Ltd,2025-08-05T13:46:03.017,4510,320,548,3.77,3.77,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9ba139dc-427c-4c26-9cef-dd7ad559e3ec.pdf
Federal Bank Ltd,2025-08-02T15:43:43.753,779961,91832,,3.74,3.7,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cd1b4152-0ec5-48e7-a98d-d3fd2301e13d.pdf
Finolex Cables Ltd,2025-08-12T13:18:00.673,1395.52,162.62,184.8,10.53,10.63,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1a716dd4-09ba-4c72-9800-8b00fee86fe6.pdf
Finolex Industries Ltd,2025-08-02T21:16:30.84,1043.15,98.16,,1.59,1.59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1ec01eb5-4cdc-4b92-87be-9800b265e07a.pdf
Firstsource Solutions Ltd,2025-07-30T13:15:06.657,22209.34,1693.25,,2.45,2.4,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5fde7d42-2e59-4ee5-908f-b6be7b5ee457.pdf
Five-Star Business Finance Ltd,2025-07-28T19:03:29.41,79118.74,26631.16,,9.04,9.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d1cb5aae-0639-4b24-b68d-be15164fa003.pdf
Five-Star Business Finance Ltd,2025-07-28T18:47:40.437,79118.74,26631.16,,9.04,9.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6a1d4250-af93-44c3-b714-6ef1a5510140.pdf
Fortis Healthcare Ltd,2025-08-06T21:02:13.943,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d0eea001-903e-4769-b69f-d895b58311ac.pdf
Fortis Healthcare Ltd,2025-08-06T20:57:59.4,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=88b99481-55e5-49f1-be23-d412381b9378.pdf
FSN E-Commerce Ventures Ltd,2025-08-12T16:56:10.317,2154.94,24.47,,0.08,0.08,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e881a163-2b8f-403e-a675-bb68eddde6a4.pdf
Gail (India) Ltd,2025-07-28T18:49:10.303,35428.81,2382.24,,3.6,3.6,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=529c3dd9-6fbf-4114-a2cd-672742547d88.pdf
General Insurance Corporation of India,2025-08-07T20:06:29,1354273,253059,,9.99,9.99,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3eb28b41-9945-4cac-a15b-30f3b38242fb.pdf
Gillette India Ltd,2025-07-31T13:01:10.4,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2b4d708f-5ff1-401e-9cb9-24bf4b70425f.pdf
Gland Pharma Ltd,2025-08-05T16:25:50.497,4647.62,560.58,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ee44c072-4ee8-4c49-8667-ada77a9b3440.pdf
GlaxoSmithKline Pharmaceuticals Ltd,2025-08-01T12:35:32.543,80517,20501,,12.1,12.1,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b1382030-78c7-4eef-a7c3-867ae9fd65b6.pdf
Glenmark Pharmaceuticals Ltd,2025-08-14T17:14:39.263,32644.4,469.73,,1.66,1.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b72a6b85-71e4-4be2-a5d3-39c2effe26cd.pdf
Global Health Ltd,2025-08-07T16:32:43.573,10308.37,1589.82,,5.92,5.91,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5ec937a9-b8ae-4b4b-8a12-a9739c782cf2.pdf
GMR Airports Ltd,2025-07-29T20:39:16.093,3205.23,-137.11,1280.14,-0.2,-0.2,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5c33b544-a1eb-4d6c-82e4-cbfaa523ecfb.pdf
Go Digit General Insurance Ltd,2025-07-28T18:02:48.49,217946,13833,,1.5,1.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bf91deb5-4a58-42f4-851c-16a55bb680ad.pdf
Godawari Power and Ispat Ltd,2025-08-05T17:23:15.833,1323.25,215.96,,3.52,3.5,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a8042fa3-57bb-49f4-9ccd-df41435bc629.pdf
Godfrey Phillips India Ltd,2025-08-04T18:00:01.58,181326,35628,,68.53,68.53,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bda8f1c7-2b6e-4fb4-96fa-1d8c85acb14e.pdf
Godrej Agrovet Ltd,2025-08-06T15:10:55.557,2614.29,148.83,281.26,8.35,8.35,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=16e7a525-fcd5-40d9-a904-aaedb7c4a9cd.pdf
Godrej Consumer Products Ltd,2025-08-07T15:42:57.02,3661.86,452.45,,4.42,4.42,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=152a2174-393c-4e42-bd2b-1464665f0dec.pdf
Godrej Industries Ltd,2025-08-13T13:56:18.483,4459.8,725.35,1748,10.37,10.37,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=60d715aa-43b7-4930-a64b-32e8e5c48767.pdf
Godrej Properties Ltd,2025-08-01T12:39:16.353,434.56,56.11,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=487a2844-ea13-4697-ba75-cca237863d8a.pdf
Graphite India Ltd,2025-08-01T14:26:26.477,665,133,,6.87,6.87,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=19fe0ae7-4c4f-4f6f-bce4-8d5ec9289207.pdf
Grasim Industries Ltd,2025-08-08T14:16:03.727,40118.08,2767.08,8033.29,20.91,20.88,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f3b38bc5-930a-4d25-94fc-2a7da3e69570.pdf
Gravita India Ltd,2025-07-28T17:45:02.897,1039.94,83.06,,12.81,12.81,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3941ea44-103c-4c81-92a4-0ed0a4c2e68f.pdf
Great Eastern Shipping Company Ltd,2025-07-31T18:22:20.393,1201.47,504.5,,35.34,35.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=70d995f4-698c-4ea7-a296-b59203838727.pdf
Gujarat Fluorochemicals Ltd,2025-08-05T13:53:17.367,1174,185,333,16.66,16.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f24d9ee4-c84b-4f2b-8034-e62ca049f753.pdf
Gujarat Gas Ltd,2025-08-05T18:42:08.133,4065.41,327.64,,4.76,4.76,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a4ef7e9a-174a-487a-a9ea-226b83a92dc6.pdf
Gujarat Mineral Development Corporation Ltd,2025-07-25T17:50:14.61,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c3db3218-aa69-4da6-8ab2-c372234de3ff.pdf
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,2025-08-06T16:31:55.877,1601,78,,5.31,5.31,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=449967d3-4d50-4526-a919-f0fe1ff6b18b.pdf
Gujarat Pipavav Port Ltd,2025-08-13T12:32:57.163,2504.47,1043.25,,2.16,2.16,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=22b38c10-cde0-4436-9306-79a359905912.pdf
Happiest Minds Technologies Ltd,2025-07-29T12:37:14.9,54990,5713,12405,3.79,3.79,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2cc9ca1a-7a13-4fcb-b5d0-cf99bac1f84a.pdf
Havells India Ltd,2025-07-21T16:07:52.84,5455.35,347.53,,5.55,5.54,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=11de5fc0-28d8-497b-b472-4cb22b9d9932.pdf
HBL Engineering Ltd-$,2025-08-09T18:55:16.42,60177.07,14326.87,,5.16,5.16,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eb23c837-dc24-4ce8-93c0-06f3722dd7d9.pdf
HDFC Asset Management Company Ltd,2025-07-17T13:54:32.03,968.15,747.55,,34.95,34.82,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d9a3b94e-b8f0-4386-b88d-fefe21e59d71.pdf
HEG Ltd,2025-07-30T17:12:55.99,616.93,104.83,,5.43,5.43,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=de58bcb1-e00d-4ceb-a095-20af52164e67.pdf
Hero MotoCorp Ltd,2025-08-06T17:48:30.79,9728,1706,1413,85.26,85.17,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8f388428-00d2-45a9-9546-23a6681cfbfe.pdf
HFCL Ltd,2025-07-25T13:10:37.987,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c8b42a95-c55d-42b5-a71f-8b6eb89d8a17.pdf
Himadri Speciality Chemical Ltd,2025-07-15T14:44:41.667,1118.29,179.36,271.77,3.68,3.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=baddca31-32ad-4a9a-aa77-a9d6935ae5f4.pdf
Hindalco Industries Ltd,2025-08-12T14:22:11.723,64232,4004,,18.03,18,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=288fa951-b4b2-4817-a9b4-1eb5d5681ca9.pdf
Hindustan Aeronautics Ltd,2025-08-12T14:20:48.13,481901,138377,,20.69,20.69,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=99124a5d-708a-419d-a506-5eb62b987e12.pdf
Hindustan Copper Ltd,2025-08-14T14:40:40.047,526.65,131.25,,1.39,1.39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b3e9f6e5-2fd7-4fb0-913a-3a22d4e1dfeb.pdf
Hindustan Petroleum Corporation Ltd,2025-08-07T17:09:16.127,120192.99,4110.93,,19.32,19.32,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0b2ea803-6c37-4a62-8c93-3196fda00688.pdf
Hindustan Unilever Ltd,2025-07-31T09:59:12.337,16514,2768,3718,11.73,11.73,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e9f65f15-c05a-40bf-a288-f82f36788e71.pdf
Hindustan Zinc Ltd,2025-07-18T14:10:39.433,7771,2234,4638,5.29,5.29,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0afa022f-ab91-41be-84f3-f9f8e6ab6034.pdf
Hindustan Zinc Ltd,2025-07-18T14:01:53.21,7771,2234,4641,5.29,5.29,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=97330b7e-df7a-4615-a0dd-0fb4468c0fc0.pdf
Hitachi Energy India Ltd,2025-07-30T16:33:09.4,1529.8,131.6,170.2,29.53,29.53,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fffe1e1c-6f2d-4ac5-9f03-ed469419cbf4.pdf
Home First Finance Company India Ltd,2025-07-25T16:33:18.847,4552.65,1188.91,,11.69,11.48,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=58f55c49-cd7a-4ebf-9c2f-14a6729d9d5c.pdf
Honasa Consumer Ltd,2025-08-12T15:44:47.52,5952.54,413.25,,1.27,1.26,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3aca291e-3e14-48de-9d25-90485ea16221.pdf
Honeywell Automation India Ltd,2025-08-01T16:44:05.153,11831,1246,,140.95,140.95,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bc0e74a2-17fc-4187-ba5c-aa429a805c5c.pdf
Housing & Urban Development Corporation Ltd,2025-08-06T16:23:24.01,2937.31,630.23,,3.15,3.15,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ad9c096e-a662-43a1-8e51-28e078954d79.pdf
Hyundai Motor India Ltd,2025-07-30T14:42:53.647,164128.75,13692.34,,16.85,16.85,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f0f6b7e8-4875-4a36-86ff-17e4bbdf05ae.pdf
ICICI Bank Ltd,2025-07-19T14:55:18.923,74576.03,13557.6,,19.02,18.71,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b1162016-5e61-4914-a41d-f4c7f08ca93e.pdf
ICICI Lombard General Insurance Company Ltd,2025-07-15T17:45:44.567,608336,74708,,15.06,14.92,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b8b401ef-d22b-46cf-a351-8a2e8d568a4b.pdf
ICICI Prudential Life Insurance Company Ltd,2025-07-15T13:48:24.96,89540,3020,,2.09,2.08,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=90d8cbbc-11cd-4f7e-9d40-a03191bf0f33.pdf
IDBI Bank Ltd,2025-07-21T14:22:37.697,8498.53,2019.18,,1.88,1.88,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d85bf46c-f00a-46f1-aa31-42f9a9345e98.pdf
IDFC First Bank Ltd,2025-07-26T15:18:08.737,1186902,45347,,0.62,0.61,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=96e4514e-633d-47b0-9575-90155835cfc1.pdf
IFCI Ltd,2025-08-08T16:30:09.29,155.51,7.38,,0.03,0.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f6a189fe-126f-4b6f-b827-7544921da977.pdf
IIFL Finance Ltd,2025-07-30T16:53:35.27,2959.3,274.17,,5.49,5.45,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9ef842a9-b4bf-4785-ae71-be38aeb067e7.pdf
Indegene Ltd,2025-07-31T18:03:56.927,7608,1164,,4.86,4.82,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=885f3e21-d685-4e4b-9a43-566dda098159.pdf
India Cements Ltd,2025-07-19T15:56:03.657,1024.74,-132.9,92.31,-4.21,-4.21,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=130f9e46-aba3-4c8e-8345-66e5a59d80b3.pdf
Indian Bank,2025-07-24T13:26:29.22,18905.6,2276.37,4792.38,16.9,16.9,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=22a288e1-8276-42f6-a6fd-8bb418da925c.pdf
Indian Energy Exchange Ltd,2025-07-24T17:11:55.79,14175.14,12069.67,,1.36,1.36,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=47960eab-532d-4a48-af6c-29afbef24010.pdf
Indian Hotels Company Ltd,2025-07-17T17:12:44.207,204108,32932,,2.08,2.08,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0e33c67d-1e8b-468c-99e3-017816377860.pdf
Indian Oil Corporation Ltd,2025-08-14T14:24:10.043,221849.02,6808.12,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=52f541ea-0d2a-4401-baf1-f78aed6bb408.pdf
Indian Overseas Bank,2025-07-18T12:32:47.677,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b1e941c8-d985-44ad-86f3-188e00f931ed.pdf
Indian Railway Catering and Tourism Corporation Ltd,2025-08-13T17:11:07.737,115958.1,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a176cbac-cd2a-440f-a4b2-285c981e00db.pdf
Indian Railway Finance Corporation Ltd,2025-07-22T18:41:13.777,6918.24,1745.69,,1.34,1.34,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6e65721e-b5d4-4f29-be35-19e084dc19f6.pdf
Indraprastha Gas Ltd,2025-07-30T16:33:16.473,4326.6,355.94,511.75,2.54,2.54,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=874c0966-fadc-4d5d-959e-0a95f4d6e96a.pdf
Indus Towers Ltd,2025-07-30T21:39:20.587,80576,17368,44752,6.59,6.59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4495d2fe-f20f-458d-9735-727c3eabbd8c.pdf
Indusind Bank Ltd,2025-07-28T17:28:18.073,1442080,60407,,7.75,7.75,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6ac90d93-ca52-4e53-98c3-59b0ca7ac174.pdf
Info Edge (India) Ltd,2025-08-08T13:56:51.497,7908.62,3428.56,,4.57,4.56,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ae09641a-e1ee-4aad-899e-55417a78f457.pdf
INOX India Ltd,2025-08-04T18:34:14.503,352,61,89,6.65,6.64,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=292c4b3f-7367-46c7-a8cc-e1294e26d09c.pdf
Inox Wind Ltd,2025-08-14T16:21:05.72,82625,9734,22000,0.6,0.6,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3e81979b-dded-449c-b669-273ea3ca6650.pdf
Intellect Design Arena Ltd,2025-07-25T13:07:27.083,7016.89,936.94,,6.85,6.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ab65f2f3-9c41-4ee1-bae4-f915353e6219.pdf
InterGlobe Aviation Ltd,2025-07-30T16:09:05.22,204963,21763,,56.31,56.24,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7ef033d0-11bc-466f-8b68-ba0e28b8ab12.pdf
Inventurus Knowledge Solutions Ltd,2025-07-31T22:02:59.82,7400.95,1515.39,,9.07,8.85,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2901bdad-cc33-48d7-baf0-e095b09d489e.pdf
Ipca Laboratories Ltd,2025-08-11T13:50:53.6,2308.85,233.21,424.58,9.19,9.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1e238847-43e3-47a1-967a-5e27deeeae66.pdf
IRB Infrastructure Developers Ltd,2025-08-14T14:10:27.45,20989.66,2024.82,1018,0.34,0.34,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=863664da-c147-469c-ab77-f41a9e9a795e.pdf
IRCON International Ltd,2025-08-06T17:57:24.123,1786.28,164.1,,1.75,1.75,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=481af224-1315-4ad1-ad2c-dcd6931a8b41.pdf
ITC Ltd,2025-08-01T17:24:29.477,23129.35,5343.41,2455.57,4.19,4.18,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=55b547e9-ac26-4b61-996f-cc93e225539a.pdf
Jaiprakash Power Ventures Ltd,2025-07-30T16:15:20.857,158316,27813,64908,0.31,0.31,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eedd1f6c-b501-4ae5-9526-3bf0a5a575b8.pdf
Jammu & Kashmir Bank Ltd,2025-07-25T19:57:24.867,3522.65,486,,4.4,4.4,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=16bb174f-ad96-4e37-8752-cc85217b8ea3.pdf
JBM Auto Ltd,2025-07-30T15:53:25.757,1253.88,39.04,,1.56,1.56,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2bb88b48-6968-456b-882d-40ef42f48f9e.pdf
Jindal Saw Ltd,2025-08-05T15:17:07.707,4084.68,415.47,,6.66,6.63,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0d73e628-97e8-426f-aaec-3b519b4282db.pdf
Jindal Stainless Ltd,2025-08-06T15:46:01.69,10207.14,714.66,,8.67,8.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=296ce4ff-4f0f-4180-9dba-9e4e2815b495.pdf
Jindal Steel Ltd,2025-08-12T18:50:37.63,14336,1496,2984,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=15ac073f-0c00-4f3c-a465-5686549bab2a.pdf
Jio Financial Services Ltd,2025-07-17T17:34:08.607,619.46,324.66,,0.51,0.51,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d08870e1-662a-462e-acdd-0209b5112497.pdf
JK Cement Ltd,2025-07-19T14:09:08.323,3352.53,324.25,,41.99,41.99,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=524225ca-048c-4f42-bbbc-79c0e137bd72.pdf
JK Tyre & Industries Ltd,2025-08-08T12:47:09.39,3891,155,424,6.03,6.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5ff824ed-90c1-4716-baa0-ad20f431fd21.pdf
JM Financial Ltd-$,2025-08-11T13:38:27.573,1121.23,458.77,,2.17,2.14,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cd834943-7bc9-4e69-a6c7-bdeb86812677.pdf
JSW Energy Ltd,2025-07-31T18:21:39.22,5411.24,835.86,3057,4.26,4.25,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa1560e0-c53a-4464-aad2-f7d432be4f99.pdf
JSW Holdings Ltd,2025-07-31T18:00:39.157,3007.48,3381.02,,30.47,30.46,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e55205ba-4624-45c2-9456-16003742003e.pdf
JSW Infrastructure Ltd,2025-07-22T16:30:03.673,1223.85,389.57,,1.85,1.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=40b0002c-a05c-4edf-94a5-80d0039c1893.pdf
JSW Steel Ltd,2025-07-18T15:27:19.973,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=94955d62-243a-45c4-bfeb-c4091b365430.pdf
Jubilant FoodWorks Ltd,2025-08-13T15:55:06.34,22608.6,943.37,,1.43,1.43,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b0d02673-6308-4b0d-bb11-8226340c58d5.pdf
Jubilant Ingrevia Ltd,2025-07-31T13:24:53.58,103795,7510,15336,4.75,4.75,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e3b18f67-6a33-45f1-87e8-0dc4ae70d1ab.pdf
Jubilant Pharmova Ltd,2025-07-29T13:35:00.003,19007,1025,,6.49,6.47,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2dde98ab-c362-4633-b127-e34d36eade54.pdf
Jupiter Wagons Ltd,2025-08-12T16:41:24.167,45934.28,3107.21,,0.77,0.77,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=68aeeeb1-f54c-4872-b182-ee9bef3ab33b.pdf
Just Dial Ltd,2025-07-15T20:22:45.717,2978.6,1596.5,,18.77,18.77,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3d03198a-06a4-4731-ab1d-070598c222be.pdf
Jyothy Labs Ltd,2025-08-12T13:05:22.547,75121,9679,,2.64,2.64,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7f019d9b-bea5-4d89-9457-7734fca0e18c.pdf
Jyoti CNC Automation Ltd,2025-08-06T13:31:33.703,410.17,71.42,,3.14,3.14,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=874e8b78-c4a6-4812-b841-cb058c7d433c.pdf
K.P.R. Mill Limited,2025-08-06T15:09:31.75,180225,21270,,6.22,6.22,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ceabf65a-3409-4870-afdf-eb84a77fe28e.pdf
